Timestamp,CPU(m),Memory(Mi)
2025-11-30 02:00:17.822,12m,4Mi
2025-11-30 02:00:18.713,12m,4Mi
2025-11-30 02:00:19.472,12m,4Mi
2025-11-30 02:00:20.215,12m,4Mi
2025-11-30 02:00:21.041,12m,4Mi
2025-11-30 02:00:21.880,26m,7Mi
2025-11-30 02:00:22.653,26m,7Mi
2025-11-30 02:00:23.444,26m,7Mi
2025-11-30 02:00:24.208,26m,7Mi
2025-11-30 02:00:25.022,26m,7Mi
2025-11-30 02:00:25.814,26m,7Mi
2025-11-30 02:00:26.552,26m,7Mi
2025-11-30 02:00:27.466,26m,7Mi
2025-11-30 02:00:28.162,26m,7Mi
2025-11-30 02:00:28.941,26m,7Mi
2025-11-30 02:00:29.703,26m,7Mi
2025-11-30 02:00:30.527,26m,7Mi
2025-11-30 02:00:31.276,26m,7Mi
2025-11-30 02:00:32.135,26m,7Mi
2025-11-30 02:00:32.921,26m,7Mi
2025-11-30 02:00:33.670,26m,7Mi
2025-11-30 02:00:34.510,26m,7Mi
2025-11-30 02:00:35.367,26m,7Mi
2025-11-30 02:00:36.122,26m,7Mi
2025-11-30 02:00:36.898,26m,7Mi
2025-11-30 02:00:37.656,38m,10Mi
2025-11-30 02:00:38.441,38m,10Mi
2025-11-30 02:00:39.292,38m,10Mi
2025-11-30 02:00:40.134,38m,10Mi
2025-11-30 02:00:41.039,38m,10Mi
2025-11-30 02:00:42.013,38m,10Mi
2025-11-30 02:00:42.854,38m,10Mi
2025-11-30 02:00:43.620,38m,10Mi
2025-11-30 02:00:44.471,38m,10Mi
2025-11-30 02:00:45.249,38m,10Mi
2025-11-30 02:00:46.026,38m,10Mi
2025-11-30 02:00:46.797,38m,10Mi
2025-11-30 02:00:47.530,38m,10Mi
2025-11-30 02:00:48.334,38m,10Mi
2025-11-30 02:00:49.144,38m,10Mi
2025-11-30 02:00:50.046,38m,10Mi
2025-11-30 02:00:50.970,38m,10Mi
2025-11-30 02:00:51.767,38m,10Mi
2025-11-30 02:00:52.535,NA,NA
2025-11-30 02:00:53.305,NA,NA
2025-11-30 02:00:54.130,NA,NA
2025-11-30 02:00:54.908,NA,NA
2025-11-30 02:00:55.875,NA,NA
2025-11-30 02:00:56.671,NA,NA
2025-11-30 02:00:57.448,NA,NA
2025-11-30 02:00:58.214,NA,NA
2025-11-30 02:00:58.930,NA,NA
2025-11-30 02:00:59.709,NA,NA
2025-11-30 02:01:00.555,NA,NA
2025-11-30 02:01:01.386,NA,NA
2025-11-30 02:01:02.188,NA,NA
2025-11-30 02:01:02.967,NA,NA
2025-11-30 02:01:03.751,NA,NA
2025-11-30 02:01:04.489,NA,NA
2025-11-30 02:01:05.302,NA,NA
2025-11-30 02:01:06.149,NA,NA
2025-11-30 02:01:06.959,NA,NA
2025-11-30 02:01:07.715,NA,NA
2025-11-30 02:01:08.514,NA,NA
2025-11-30 02:01:09.321,NA,NA
2025-11-30 02:01:10.074,NA,NA
2025-11-30 02:01:10.879,NA,NA
2025-11-30 02:01:11.686,NA,NA
2025-11-30 02:01:12.446,NA,NA
2025-11-30 02:01:13.261,NA,NA
2025-11-30 02:01:14.063,NA,NA
2025-11-30 02:01:14.884,NA,NA
2025-11-30 02:01:15.662,NA,NA
2025-11-30 02:01:16.521,NA,NA
2025-11-30 02:01:17.317,NA,NA
2025-11-30 02:01:18.042,NA,NA
2025-11-30 02:01:18.768,NA,NA
2025-11-30 02:01:19.512,NA,NA
2025-11-30 02:01:20.252,NA,NA
2025-11-30 02:01:21.034,NA,NA
2025-11-30 02:01:21.808,NA,NA
2025-11-30 02:01:22.537,NA,NA
2025-11-30 02:01:23.312,NA,NA
2025-11-30 02:01:24.016,NA,NA
2025-11-30 02:01:24.790,NA,NA
2025-11-30 02:01:25.544,NA,NA
2025-11-30 02:01:26.314,NA,NA
2025-11-30 02:01:27.072,NA,NA
2025-11-30 02:01:27.776,NA,NA
2025-11-30 02:01:28.543,NA,NA
2025-11-30 02:01:29.288,NA,NA
2025-11-30 02:01:30.044,NA,NA
2025-11-30 02:01:30.763,NA,NA
2025-11-30 02:01:31.531,NA,NA
2025-11-30 02:01:32.289,NA,NA
2025-11-30 02:01:33.056,77m,21Mi
2025-11-30 02:01:33.803,77m,21Mi
2025-11-30 02:01:34.597,77m,21Mi
2025-11-30 02:01:35.386,77m,21Mi
2025-11-30 02:01:36.126,77m,21Mi
2025-11-30 02:01:36.854,77m,21Mi
2025-11-30 02:01:37.572,77m,21Mi
2025-11-30 02:01:38.323,77m,21Mi
2025-11-30 02:01:39.031,77m,21Mi
2025-11-30 02:01:39.731,77m,21Mi
2025-11-30 02:01:40.414,77m,21Mi
2025-11-30 02:01:41.101,77m,21Mi
2025-11-30 02:01:41.758,77m,21Mi
2025-11-30 02:01:42.462,77m,21Mi
2025-11-30 02:01:43.133,77m,21Mi
2025-11-30 02:01:43.815,77m,21Mi
2025-11-30 02:01:44.473,77m,21Mi
2025-11-30 02:01:45.140,77m,21Mi
2025-11-30 02:01:45.830,77m,21Mi
2025-11-30 02:01:46.497,77m,21Mi
2025-11-30 02:01:47.169,77m,21Mi
2025-11-30 02:01:47.823,77m,21Mi
2025-11-30 02:01:48.482,77m,21Mi
2025-11-30 02:01:49.150,77m,21Mi
2025-11-30 02:01:49.812,77m,21Mi
2025-11-30 02:01:50.465,77m,21Mi
2025-11-30 02:01:51.119,77m,21Mi
2025-11-30 02:01:51.777,77m,21Mi
2025-11-30 02:01:52.432,77m,21Mi
2025-11-30 02:01:53.084,77m,21Mi
2025-11-30 02:01:53.738,77m,21Mi
2025-11-30 02:01:54.391,77m,21Mi
2025-11-30 02:01:55.044,77m,21Mi
2025-11-30 02:01:55.696,77m,21Mi
2025-11-30 02:01:56.347,77m,21Mi
2025-11-30 02:01:57.001,77m,21Mi
2025-11-30 02:01:57.659,77m,21Mi
2025-11-30 02:01:58.312,77m,21Mi
2025-11-30 02:01:58.963,59m,21Mi
2025-11-30 02:01:59.612,59m,21Mi
2025-11-30 02:02:00.267,59m,21Mi
2025-11-30 02:02:00.919,59m,21Mi
2025-11-30 02:02:01.570,59m,21Mi
2025-11-30 02:02:02.223,59m,21Mi
2025-11-30 02:02:02.878,59m,21Mi
2025-11-30 02:02:03.535,59m,21Mi
2025-11-30 02:02:04.186,59m,21Mi
2025-11-30 02:02:04.841,59m,21Mi
2025-11-30 02:02:05.502,59m,21Mi
2025-11-30 02:02:06.154,59m,21Mi
2025-11-30 02:02:06.814,59m,21Mi
2025-11-30 02:02:07.472,59m,21Mi
2025-11-30 02:02:08.125,59m,21Mi
2025-11-30 02:02:08.780,59m,21Mi
2025-11-30 02:02:09.434,59m,21Mi
2025-11-30 02:02:10.089,59m,21Mi
2025-11-30 02:02:10.745,59m,21Mi
2025-11-30 02:02:11.401,59m,21Mi
2025-11-30 02:02:12.062,59m,21Mi
2025-11-30 02:02:12.714,59m,21Mi
2025-11-30 02:02:13.372,59m,21Mi
2025-11-30 02:02:14.033,36m,22Mi
2025-11-30 02:02:14.687,36m,22Mi
2025-11-30 02:02:15.345,36m,22Mi
2025-11-30 02:02:16.003,36m,22Mi
2025-11-30 02:02:16.661,36m,22Mi
2025-11-30 02:02:17.316,36m,22Mi
2025-11-30 02:02:17.971,36m,22Mi
2025-11-30 02:02:18.622,36m,22Mi
2025-11-30 02:02:19.277,36m,22Mi
2025-11-30 02:02:19.937,36m,22Mi
2025-11-30 02:02:20.599,36m,22Mi
2025-11-30 02:02:21.258,36m,22Mi
2025-11-30 02:02:21.911,36m,22Mi
2025-11-30 02:02:22.567,36m,22Mi
2025-11-30 02:02:23.228,36m,22Mi
2025-11-30 02:02:23.886,36m,22Mi
2025-11-30 02:02:24.539,36m,22Mi
2025-11-30 02:02:25.197,36m,22Mi
2025-11-30 02:02:25.855,36m,22Mi
2025-11-30 02:02:26.506,36m,22Mi
2025-11-30 02:02:27.165,36m,22Mi
2025-11-30 02:02:27.822,36m,22Mi
2025-11-30 02:02:28.478,36m,22Mi
2025-11-30 02:02:29.138,37m,22Mi
2025-11-30 02:02:29.800,37m,22Mi
2025-11-30 02:02:30.458,37m,22Mi
2025-11-30 02:02:31.105,37m,22Mi
2025-11-30 02:02:31.767,37m,22Mi
2025-11-30 02:02:32.426,37m,22Mi
2025-11-30 02:02:33.082,37m,22Mi
2025-11-30 02:02:33.743,37m,22Mi
2025-11-30 02:02:34.401,37m,22Mi
2025-11-30 02:02:35.053,37m,22Mi
2025-11-30 02:02:35.711,37m,22Mi
2025-11-30 02:02:36.365,37m,22Mi
2025-11-30 02:02:37.020,37m,22Mi
2025-11-30 02:02:37.673,37m,22Mi
2025-11-30 02:02:38.329,37m,22Mi
2025-11-30 02:02:38.981,37m,22Mi
2025-11-30 02:02:39.637,37m,22Mi
2025-11-30 02:02:40.297,37m,22Mi
2025-11-30 02:02:40.951,37m,22Mi
2025-11-30 02:02:41.609,37m,22Mi
2025-11-30 02:02:42.268,37m,22Mi
2025-11-30 02:02:42.925,37m,22Mi
2025-11-30 02:02:43.582,36m,21Mi
2025-11-30 02:02:44.239,36m,21Mi
2025-11-30 02:02:44.895,36m,21Mi
2025-11-30 02:02:45.555,36m,21Mi
2025-11-30 02:02:46.214,36m,21Mi
2025-11-30 02:02:46.868,36m,21Mi
2025-11-30 02:02:47.520,36m,21Mi
2025-11-30 02:02:48.176,36m,21Mi
