timestamp,old_amf_ip,new_amf_ip,connections_migrated,migration_us,migration_ms
2025-12-15 13:42:44,10.0.0.5,10.0.0.4,1,1172.000,1.172
2025-12-15 13:44:44,10.0.0.4,10.0.0.6,1,2417.000,2.417
2025-12-15 13:46:44,10.0.0.6,10.0.0.7,2,2351.000,2.351
2025-12-15 13:47:44,10.0.0.7,10.0.0.8,1,1486.000,1.486
