timestamp,old_amf_ip,new_amf_ip,connections_migrated,migration_us,migration_ms
2025-11-30 12:24:43,10.0.0.4,10.0.0.5,0,168.000,0.168
2025-11-30 12:27:44,10.0.0.5,10.0.0.6,0,71.000,0.071
2025-11-30 12:30:45,10.0.0.6,10.0.0.7,0,45.000,0.045
2025-11-30 12:32:46,10.0.0.7,10.0.0.8,0,2899.000,2.899
