Timestamp,TOTAL-AMF-MEM
3084.815,51
3091.301,51
3097.686,50
3104.122,50
3110.639,50
3117.158,50
3123.7,50
3130.125,49
3136.605,49
3143.078,49
3149.574,49
3156.049,49
3162.464,49
3168.897,49
3175.477,48
3181.868,48
3188.36,47
3194.827,47
3201.295,46
3207.779,46
3214.179,45
3220.596,34
3227.042,34
3233.548,34
3240.047,34
3246.494,33
3252.842,33
3259.242,32
3265.443,32
3271.746,32
3277.939,32
3284.076,32
3290.232,32
3296.378,32
3302.436,32
3308.467,31
3314.539,31
3320.658,30
3326.662,30
3332.737,30
3338.753,18
3344.779,18
3350.825,18
3356.815,18
3362.8,18
3368.841,18
3374.834,18
3380.839,18
3386.831,18
3392.838,17
3398.857,17
3404.871,17
3410.972,17
3417.032,17
3423.109,17
3429.165,17
3435.226,17
3441.261,17
3447.353,17
3453.468,17
3459.583,17
3465.674,17
3471.795,17
3477.896,17
3484.016,17
3490.127,17
3496.244,17
3502.374,17
3508.462,17
3514.583,17
3520.787,17
3526.886,17
3532.996,17
3539.13,17
3545.253,17
3551.393,17
3557.536,17
3563.681,17
3569.784,17
3575.831,17
3581.905,17
3588.016,17
