Timestamp,TOTAL-AMF-MEM
0.0,43
5.266,43
10.57,43
15.872,43
21.134,43
26.472,43
31.798,43
37.074,43
42.392,43
47.67,43
53.006,44
58.37,44
63.65,44
68.977,44
74.29,44
79.604,44
84.978,46
90.314,46
95.586,46
100.868,47
106.21,47
111.522,47
116.778,47
122.042,47
127.362,47
132.602,47
137.854,47
143.083,90
148.414,90
153.694,90
159.097,91
164.378,91
169.651,91
174.975,91
180.27,91
185.606,91
190.93,91
196.21,91
201.55,91
206.827,92
212.106,92
217.458,92
222.691,92
227.93,92
233.165,141
238.389,141
243.722,141
249.006,135
254.322,135
259.558,135
264.87,137
270.156,137
275.398,137
280.686,137
285.974,137
291.262,137
296.51,138
301.774,138
307.006,138
312.23,139
317.534,139
322.814,181
328.065,181
333.394,181
338.686,181
343.998,181
349.37,181
354.634,182
359.975,182
365.346,182
370.646,182
375.939,182
381.259,182
386.578,184
391.87,184
397.222,184
402.482,184
407.758,184
412.994,184
418.21,184
423.538,184
428.822,185
434.157,185
439.474,185
444.767,227
450.078,227
455.366,227
460.634,228
465.878,228
471.206,228
476.502,228
481.862,228
487.142,228
492.414,228
497.746,228
503.04,229
508.422,229
513.794,229
519.07,229
524.386,229
529.674,229
534.941,231
540.218,231
545.538,231
550.79,231
556.104,231
561.414,231
566.694,231
572.018,231
577.386,232
582.67,232
588.046,232
593.354,232
598.69,232
603.991,232
609.254,233
614.57,233
619.867,233
625.168,234
630.52,234
635.874,234
641.162,234
646.474,234
651.794,234
657.054,235
662.347,235
667.613,235
672.856,235
678.226,235
683.57,235
688.846,235
694.146,235
699.49,236
704.854,236
710.226,236
715.606,236
720.882,236
726.266,236
731.566,236
736.882,236
742.258,236
747.523,236
752.822,236
758.17,236
763.452,236
768.778,236
774.09,236
779.418,236
784.754,236
790.118,236
795.446,236
800.81,236
806.098,236
811.378,236
816.69,236
821.964,236
827.279,236
832.547,236
837.906,236
843.274,236
848.571,236
853.882,236
859.202,236
864.491,236
869.782,236
875.078,236
880.406,236
885.738,236
891.006,236
896.402,236
901.746,236
907.024,236
912.314,236
917.634,236
922.942,235
928.259,235
933.598,235
938.891,235
944.23,235
949.49,235
954.798,234
960.067,234
965.378,234
970.696,234
976.018,234
981.334,234
986.63,233
991.922,233
997.198,233
1002.539,233
1007.858,233
1013.194,232
1018.554,232
1023.874,232
1029.19,232
1034.506,232
1039.832,232
1045.13,232
1050.454,232
1055.725,232
1061.042,231
1066.325,231
1071.626,231
1076.898,231
1082.198,231
1087.464,230
1092.76,230
1098.036,230
1103.362,229
1108.665,229
1113.97,229
1119.23,228
1124.514,228
1129.817,228
1135.154,228
1140.498,228
1145.802,228
1151.166,185
1156.495,185
1161.802,185
1167.095,185
1172.355,185
1177.702,184
1183.038,184
1188.358,184
1193.63,183
1198.902,183
1204.234,183
1209.582,183
1214.862,140
1220.162,140
1225.528,139
1230.898,139
1236.178,139
1241.427,138
1246.738,138
1252.115,138
1257.468,138
1262.758,138
1268.046,137
1273.386,137
1278.686,137
1283.962,137
1289.298,137
1294.586,137
1299.866,137
1305.139,137
1310.478,137
1315.786,136
1321.078,136
1326.426,136
1331.73,92
1337.023,92
1342.366,92
1347.678,92
1352.954,92
1358.298,91
1363.634,91
1368.974,91
1374.234,91
1379.562,91
1384.914,91
1390.204,91
1395.534,91
1400.902,91
1406.242,91
1411.578,91
1416.89,91
1422.222,91
1427.538,91
1432.818,91
1438.162,91
