Timestamp,TOTAL-AMF-MEM
0.0,90
8.734,90
14.064,90
19.412,90
25.443,90
30.874,90
36.395,90
41.744,90
47.714,90
53.043,90
58.748,90
64.071,90
69.411,90
74.793,90
80.181,90
87.387,90
93.801,90
99.126,90
104.573,90
110.006,90
115.376,90
120.745,90
126.131,90
131.561,90
137.168,90
142.827,90
148.406,90
154.408,90
160.918,90
166.494,90
172.406,90
183.908,90
189.279,90
194.635,90
199.992,90
205.404,90
211.089,90
218.89,90
224.25,90
231.404,0
253.244,0
259.407,0
294.944,0
300.634,0
306.302,0
311.684,0
317.091,0
322.496,91
328.335,91
333.817,91
339.182,91
344.552,91
350.653,91
356.603,91
361.931,91
367.308,91
372.914,91
379.408,91
387.409,91
396.614,91
403.743,95
409.091,95
415.408,95
422.88,95
429.591,96
434.94,96
440.813,96
446.14,92
452.409,92
463.087,32
490.563,0
496.406,0
502.408,82
509.751,91
515.113,91
520.481,92
525.843,92
531.227,92
536.565,92
541.902,92
547.36,92
552.715,92
558.591,92
563.917,92
569.235,92
574.6,92
580.637,92
586.0,92
591.34,92
596.767,94
602.159,94
607.478,95
613.838,95
619.176,95
624.583,97
630.037,97
635.38,97
640.712,97
646.589,97
652.468,98
657.83,98
663.146,98
668.519,98
674.756,98
680.762,98
686.143,99
693.429,99
698.843,99
704.16,99
710.448,99
717.443,99
722.901,99
728.238,100
733.564,100
741.445,100
747.202,100
752.802,100
758.497,101
765.499,101
773.441,117
781.031,85
786.49,85
792.692,85
798.719,85
804.454,85
811.445,86
816.954,86
822.377,86
830.502,86
836.759,86
842.161,86
847.709,87
853.054,87
858.444,87
863.885,87
869.79,87
875.116,87
880.456,88
886.443,88
897.72,88
903.519,88
908.92,88
914.544,88
920.628,88
927.445,101
932.94,101
938.571,101
943.921,101
949.455,101
956.46,101
967.46,101
972.937,101
978.262,101
983.634,101
989.001,101
994.331,101
999.698,102
1005.037,102
1010.428,102
1015.905,102
1021.461,102
1026.964,102
1032.301,102
1037.631,102
1046.468,102
1052.829,102
1059.512,102
1064.857,102
1070.223,102
1075.599,102
1080.965,102
1086.404,102
1091.871,102
1097.2,102
1103.457,102
1108.936,102
1114.328,102
1119.836,102
1125.209,102
1130.564,102
1137.346,102
1142.851,102
1148.357,102
1153.754,102
1159.492,21
1182.624,0
1188.051,0
1195.076,102
1200.514,102
1205.886,102
1211.211,102
1216.546,102
1234.49,103
1240.657,102
1246.038,102
1252.506,102
1265.989,103
1271.406,103
1276.776,103
1282.14,102
1287.523,102
1294.042,102
1299.509,102
1305.683,102
1312.495,102
1319.634,102
1326.962,103
1332.363,103
1337.812,103
1343.214,103
1348.632,103
1354.406,103
1359.825,103
1365.774,103
1371.216,103
1376.681,102
1382.244,102
1387.75,102
1393.257,102
1398.686,102
1404.509,102
1410.482,102
1415.862,102
1421.221,101
1427.539,101
1442.488,100
1447.826,100
1453.256,100
1458.66,100
1465.656,98
1472.804,98
1478.885,98
1484.524,98
1490.539,98
1499.001,97
1504.333,97
1510.695,97
1516.199,97
1524.548,97
1532.41,96
1537.864,96
1543.317,96
1548.704,96
1554.527,96
1563.571,96
1569.878,95
1575.321,95
1580.744,95
1587.533,94
1600.144,94
1605.529,94
1615.53,95
1621.157,95
1626.488,95
1633.744,95
1639.064,95
1644.53,95
1656.854,95
1662.539,95
1667.916,95
1673.529,95
1681.01,95
1686.354,95
1691.777,96
1697.592,96
1703.535,96
1712.156,96
1717.518,95
1723.745,95
1729.087,95
1734.407,95
1743.788,95
1750.655,95
1755.992,95
1761.296,95
1766.633,95
1771.956,95
1777.806,95
1783.111,95
1788.561,95
1794.604,95
1799.919,95
1805.826,95
1811.144,95
1816.487,95
1821.808,95
1827.826,95
1833.559,95
1839.97,95
1845.298,95
1850.632,95
1856.549,95
1867.029,95
1872.361,95
1877.697,95
1883.025,95
1889.549,95
1895.954,95
1901.273,95
1906.692,95
1912.551,96
1918.556,96
1923.961,96
1930.953,96
1937.552,96
1948.707,96
1954.04,96
1959.585,96
1964.915,96
1970.661,96
1975.996,96
1981.547,96
1987.874,96
1993.188,96
1998.518,96
2003.85,96
2009.254,96
2014.751,96
2020.065,96
2025.381,96
2031.56,96
2036.924,96
2042.905,96
2048.847,96
2055.753,96
2061.07,96
2066.622,96
2071.947,96
2077.746,96
2083.074,96
2088.402,96
2093.727,97
2099.091,97
2105.656,97
2110.972,97
2116.656,97
2121.981,97
2129.786,97
2135.871,97
2141.197,97
2146.507,97
2153.612,97
2159.681,97
2165.844,97
2171.166,97
2176.505,97
2181.838,97
2187.147,97
2192.468,97
2197.77,97
2203.792,97
2209.118,97
2215.654,97
2221.05,97
2226.381,97
2232.701,97
2238.015,97
2243.354,97
2248.687,97
2253.999,97
2259.907,97
2265.234,97
2270.643,97
2277.036,97
2283.018,97
2288.338,97
2293.673,97
2300.71,97
2306.937,97
2312.247,97
2317.566,97
2322.923,97
2328.246,97
2333.847,97
2339.17,97
2344.909,97
2350.719,97
2356.031,97
2361.363,97
2366.701,97
2372.027,97
2377.343,97
2382.664,97
2387.997,97
2393.53,97
2398.892,97
