timestamp,old_amf_ip,new_amf_ip,connections_migrated,migration_us,migration_ms
2025-12-17 19:32:01,10.0.0.4,10.0.0.6,0,53.000,0.053
2025-12-17 19:33:01,10.0.0.5,10.0.0.7,0,16.000,0.016
2025-12-17 19:34:01,10.0.0.6,10.0.0.8,0,15.000,0.015
