timestamp,old_amf_ip,new_amf_ip,connections_migrated,migration_us,migration_ms
2025-12-18 17:46:21,10.0.0.4,10.0.0.8,1,96181.000,96.181
2025-12-18 17:50:22,10.0.0.5,10.0.0.8,7,115908.000,115.908
2025-12-18 17:54:24,10.0.0.6,10.0.0.8,6,87058.000,87.058
2025-12-18 17:58:27,10.0.0.7,10.0.0.8,3,35336.000,35.336
