Timestamp,CPU(m),Memory(Mi)
2025-11-29 02:08:09.364,1m,3Mi
2025-11-29 02:08:10.040,1m,3Mi
2025-11-29 02:08:10.713,1m,3Mi
2025-11-29 02:08:11.398,1m,3Mi
2025-11-29 02:08:12.086,1m,3Mi
2025-11-29 02:08:12.767,1m,3Mi
2025-11-29 02:08:13.441,1m,3Mi
2025-11-29 02:08:14.115,1m,3Mi
2025-11-29 02:08:14.796,1m,3Mi
2025-11-29 02:08:15.480,1m,3Mi
2025-11-29 02:08:16.149,1m,3Mi
2025-11-29 02:08:16.819,1m,3Mi
2025-11-29 02:08:17.494,1m,3Mi
2025-11-29 02:08:18.164,1m,3Mi
2025-11-29 02:08:18.841,1m,3Mi
2025-11-29 02:08:19.517,1m,3Mi
2025-11-29 02:08:20.203,1m,3Mi
2025-11-29 02:08:20.873,1m,3Mi
2025-11-29 02:08:21.561,1m,3Mi
2025-11-29 02:08:22.244,1m,3Mi
2025-11-29 02:08:22.921,1m,3Mi
2025-11-29 02:08:23.591,1m,3Mi
2025-11-29 02:08:24.257,1m,3Mi
2025-11-29 02:08:24.928,1m,3Mi
2025-11-29 02:08:25.594,1m,3Mi
2025-11-29 02:08:26.269,1m,3Mi
2025-11-29 02:08:26.936,1m,3Mi
2025-11-29 02:08:27.620,1m,3Mi
2025-11-29 02:08:28.292,1m,3Mi
2025-11-29 02:08:28.955,1m,3Mi
2025-11-29 02:08:29.640,1m,3Mi
2025-11-29 02:08:30.319,1m,3Mi
2025-11-29 02:08:30.999,1m,3Mi
2025-11-29 02:08:31.673,1m,3Mi
2025-11-29 02:08:32.340,1m,3Mi
2025-11-29 02:08:33.030,1m,3Mi
2025-11-29 02:08:33.687,1m,3Mi
2025-11-29 02:08:34.368,1m,3Mi
2025-11-29 02:08:35.035,1m,3Mi
2025-11-29 02:08:35.698,1m,3Mi
2025-11-29 02:08:36.363,0m,3Mi
2025-11-29 02:08:37.030,0m,3Mi
2025-11-29 02:08:37.698,0m,3Mi
2025-11-29 02:08:38.378,0m,3Mi
2025-11-29 02:08:39.039,0m,3Mi
2025-11-29 02:08:39.712,0m,3Mi
2025-11-29 02:08:40.380,0m,3Mi
2025-11-29 02:08:41.051,0m,3Mi
2025-11-29 02:08:41.705,0m,3Mi
2025-11-29 02:08:42.352,0m,3Mi
2025-11-29 02:08:43.010,0m,3Mi
2025-11-29 02:08:43.664,0m,3Mi
2025-11-29 02:08:44.317,0m,3Mi
2025-11-29 02:08:44.976,0m,3Mi
2025-11-29 02:08:45.629,0m,3Mi
2025-11-29 02:08:46.295,0m,3Mi
2025-11-29 02:08:46.950,0m,3Mi
2025-11-29 02:08:47.608,0m,3Mi
2025-11-29 02:08:48.268,0m,3Mi
2025-11-29 02:08:48.925,0m,3Mi
2025-11-29 02:08:49.580,0m,3Mi
2025-11-29 02:08:50.232,0m,3Mi
2025-11-29 02:08:50.892,0m,3Mi
2025-11-29 02:08:51.549,0m,3Mi
2025-11-29 02:08:52.208,0m,3Mi
2025-11-29 02:08:52.868,0m,3Mi
2025-11-29 02:08:53.520,0m,3Mi
